nohup: ignoring input
Using: cuda
[train] Loaded 7568 samples (Pe=[0, 10])
[dev] Loaded 932 samples (Pe=[0, 10])
[test] Loaded 968 samples (Pe=[0, 10])
---- Training ----
Epoch 149/300 | Train=0.00060 | Dev=0.00088
Epoch 150/300 | Train=0.00060 | Dev=0.00081
Epoch 151/300 | Train=0.00060 | Dev=0.00087
Epoch 152/300 | Train=0.00058 | Dev=0.00086
Epoch 153/300 | Train=0.00056 | Dev=0.00084
Epoch 154/300 | Train=0.00057 | Dev=0.00084
Epoch 155/300 | Train=0.00055 | Dev=0.00085
Epoch 156/300 | Train=0.00057 | Dev=0.00098
Epoch 157/300 | Train=0.00057 | Dev=0.00087
Epoch 158/300 | Train=0.00056 | Dev=0.00083
Epoch 159/300 | Train=0.00054 | Dev=0.00083
Epoch 160/300 | Train=0.00055 | Dev=0.00084
Epoch 161/300 | Train=0.00055 | Dev=0.00082
Epoch 162/300 | Train=0.00055 | Dev=0.00082
Epoch 163/300 | Train=0.00055 | Dev=0.00081
Epoch 164/300 | Train=0.00054 | Dev=0.00084
Epoch 165/300 | Train=0.00054 | Dev=0.00083
Epoch 166/300 | Train=0.00053 | Dev=0.00084
Epoch 167/300 | Train=0.00055 | Dev=0.00085
Epoch 168/300 | Train=0.00054 | Dev=0.00084
Epoch 169/300 | Train=0.00053 | Dev=0.00092
Epoch 170/300 | Train=0.00055 | Dev=0.00083
Epoch 171/300 | Train=0.00052 | Dev=0.00085
Epoch 172/300 | Train=0.00053 | Dev=0.00081
Epoch 173/300 | Train=0.00052 | Dev=0.00082
Epoch 174/300 | Train=0.00052 | Dev=0.00084
Epoch 175/300 | Train=0.00053 | Dev=0.00083
Epoch 176/300 | Train=0.00051 | Dev=0.00082
Epoch 177/300 | Train=0.00053 | Dev=0.00083
Epoch 178/300 | Train=0.00053 | Dev=0.00082
Epoch 179/300 | Train=0.00052 | Dev=0.00085
Epoch 180/300 | Train=0.00052 | Dev=0.00090
Epoch 181/300 | Train=0.00051 | Dev=0.00085
Epoch 182/300 | Train=0.00052 | Dev=0.00083
Epoch 183/300 | Train=0.00054 | Dev=0.00083
Epoch 184/300 | Train=0.00049 | Dev=0.00081
Epoch 185/300 | Train=0.00052 | Dev=0.00083
Epoch 186/300 | Train=0.00052 | Dev=0.00087
Epoch 187/300 | Train=0.00052 | Dev=0.00082
Epoch 188/300 | Train=0.00050 | Dev=0.00085
Epoch 189/300 | Train=0.00052 | Dev=0.00082
Epoch 190/300 | Train=0.00050 | Dev=0.00084
Epoch 191/300 | Train=0.00049 | Dev=0.00084
Epoch 192/300 | Train=0.00052 | Dev=0.00087
Epoch 193/300 | Train=0.00049 | Dev=0.00085
Epoch 194/300 | Train=0.00051 | Dev=0.00084
Epoch 195/300 | Train=0.00049 | Dev=0.00084
Epoch 196/300 | Train=0.00050 | Dev=0.00083
Epoch 197/300 | Train=0.00049 | Dev=0.00081
Epoch 198/300 | Train=0.00051 | Dev=0.00086
Epoch 199/300 | Train=0.00050 | Dev=0.00083
Epoch 200/300 | Train=0.00048 | Dev=0.00084
Epoch 201/300 | Train=0.00050 | Dev=0.00083
Epoch 202/300 | Train=0.00047 | Dev=0.00087
Epoch 203/300 | Train=0.00047 | Dev=0.00083
Epoch 204/300 | Train=0.00048 | Dev=0.00083
Epoch 205/300 | Train=0.00049 | Dev=0.00085
Epoch 206/300 | Train=0.00049 | Dev=0.00091
Epoch 207/300 | Train=0.00048 | Dev=0.00086
Epoch 208/300 | Train=0.00048 | Dev=0.00083
Epoch 209/300 | Train=0.00050 | Dev=0.00084
Epoch 210/300 | Train=0.00050 | Dev=0.00084
Epoch 211/300 | Train=0.00047 | Dev=0.00093
